primaryName,birthYear,nconst,deathYear,primaryProfession,knownForTitles,Ethnicity
Orlando Seale,1973,nm0780539,\N,"actor,miscellaneous","tt7556122,tt0162661,tt0116477,tt0366920",NA
Orto Ignatiussen,1959,nm1241511,2019,"actor,miscellaneous","tt0397313,tt1454468,tt0271003,tt3277552",NA
Oscar Isaac,1979,nm1209966,\N,"actor,producer,soundtrack","tt0470752,tt2937898,tt2527336,tt2042568","Cuban-Guatemalan-Spanish, small amount of French, possibly distant Jewish heritage"
Óscar Jaenada,1975,nm1049982,\N,"actor,producer,script_department","tt3005242,tt0480255,tt1298650,tt4052882",NA
Oscar Lowe,\N,nm0523017,\N,actor,"tt0404745,tt0208614,tt0281887",NA
Oscar Pearce,\N,nm0668994,\N,actor,"tt0120804,tt0458339,tt3910804,tt0484881",NA
Osheen Jones,\N,nm0428965,\N,actor,"tt0120879,tt0117043,tt0120866,tt0166794",NA
Ossie Davis,1917,nm0001115,2005,"actor,writer,director","tt0109446,tt0107050,tt0281686,tt0097216",African-American
Oswaldo Castillo,\N,nm2092398,\N,actor,"tt0814130,tt0475898,tt1618410",NA
Otto Michael Penzato,\N,nm0672436,\N,"assistant_director,producer,actor","tt0450340,tt0162346,tt1748207,tt6976838",NA
Otto Tausig,1922,nm0851555,2011,"actor,director,writer","tt0806910,tt1516039,tt1529246,tt0098000",NA
Owen Alabado,\N,nm2277433,\N,"actor,writer,director","tt1085496,tt1586680,tt5730346,tt2382090",NA
Owen Benjamin,1980,nm2513581,\N,"actor,writer,producer","tt0810913,tt1280218,tt0852713,tt0940450","Irish, English, one eighth Bohemian Czech"
Owen Campbell,1994,nm3338805,\N,"actor,director,writer","tt13560574,tt11084432,tt5112578,tt4444438",NA
Owen Conway,\N,nm1761600,\N,"actor,writer,editor","tt7233828,tt9135272,tt5714322,tt1984119",NA
Owen Stadele,1975,nm0821111,\N,actor,"tt0120847,tt0106233",NA
Owen Williams,\N,nm5178247,\N,actor,"tt2334896,tt3776826",NA
Owen Wilson,1968,nm0005562,\N,"actor,producer,writer","tt0335438,tt0396269,tt0265666,tt0115734",Irish
Oz Perkins,1974,nm0674020,\N,"actor,writer,director","tt0274812,tt5059406,tt3286052,tt0250494",NA
Ozman Sirgood,1957,nm0816435,\N,"actor,writer,producer","tt1018501,tt0302640,tt4320258,tt3417316",NA
P.J. Boudousqué,\N,nm5120699,\N,actor,"tt3696720,tt2198956,tt3534282,tt1844624",NA
P.J. Byrne,\N,nm0126260,\N,"actor,writer,director","tt1190634,tt3920596,tt10640346,tt0993846",NA
P.J. King,\N,nm3442419,\N,actor,"tt4544614,tt7504726,tt1815725,tt1498878",NA
P.J. Megaw,\N,nm2974943,\N,"actor,stunts,sound_department","tt1290099,tt2070759,tt1688699,tt3247304",NA
P.J. Palmer,\N,nm0658409,\N,"miscellaneous,producer,actor","tt10694620,tt3733614,tt10684644,tt2877006",NA
P.J. Woodside,\N,nm2805645,\N,"actress,producer,editor","tt1988805,tt1508702,tt2402701,tt5156538",NA
Pablo Schreiber,1978,nm1032567,\N,"actor,producer,miscellaneous","tt5758778,tt2372162,tt1259528,tt4172430","German, Swiss-German, Danish, Dutch, English, French, Norwegian, Belgian [Flemish], Scottish, Welsh, Irish"
Paddy Considine,1973,nm0175916,\N,"actor,writer,director","tt0298845,tt1213663,tt0419677,tt1204340","Irish, English"
Paget Brewster,1969,nm0108295,\N,"actress,soundtrack,producer","tt14500082,tt1439629,tt0452046,tt9827854","English, some Irish and German, distant French/French-Canadian and Dutch"
Paige Howard,1985,nm2796645,\N,"actress,writer","tt11947264,tt1865272,tt1091722,tt1863203",NA
Pallavi Sastry,\N,nm4110523,\N,"actress,producer,writer","tt4635276,tt4338862,tt1595859",NA
Paloma Kwiatkowski,1994,nm4485819,\N,"actress,soundtrack","tt6865690,tt1854564,tt6049106,tt2188671",NA
Pam Cook,\N,nm1377409,\N,actress,"tt10161886,tt0810788,tt0462423,tt0198334",NA
Pam Grier,1949,nm0000427,\N,"actress,soundtrack,writer","tt0228333,tt0071517,tt0069897,tt0119396","African-American, likely small amounts of Filipino and Puerto Rican"
Pamela Gray,1964,nm0336860,\N,"actress,writer,producer","tt0465538,tt0118971,tt6283458,tt1124373",NA
Pamela Hart,\N,nm0366466,\N,actress,"tt0264472,tt0389564,tt0120108,tt0138704",NA
Pamela Reed,1949,nm0715622,\N,actress,"tt0099938,tt0110216,tt0228750,tt0086197",NA
Pamela Sutch,1962,nm0839994,\N,"actress,director,writer","tt13403320,tt2181844,tt1413807,tt5586376",NA
Panward Hemmanee,1983,nm2486428,\N,actress,"tt0814022,tt16078220,tt10007312,tt18990100",NA
Paola Mendoza,\N,nm1501718,\N,"actress,director,writer","tt0834938,tt0463025,tt1212456,tt4266684",NA
Paolo Mancini,\N,nm0541507,\N,"actor,writer,producer","tt10332866,tt0265222,tt0814131,tt1360825",NA
Paris Hilton,1981,nm0385296,\N,"actress,producer,writer","tt0804492,tt0963194,tt0417056,tt0397065","Italian (one eighth), Irish, Norwegian, German, English, Scottish, Welsh"
Park Overall,1957,nm0653802,\N,"actress,soundtrack","tt0099938,tt0094455,tt0108473,tt0095647",NA
Parker Croft,1987,nm2459979,\N,"actor,director,writer","tt1843230,tt1673736,tt4270458,tt2477218",NA
Parker Posey,1968,nm0000205,\N,"actress,soundtrack,writer","tt0359013,tt0348150,tt0106677,tt0134084","English, as well as Belgian Flemish, German, Irish, 1/32 Mexican and/or Ebarb [Choctaw-Apache Tribe]"
Parminder Nagra,1975,nm0619406,\N,"actress,soundtrack","tt2741602,tt0286499,tt1728102,tt0108757",Punjabi Indian
Parry Shen,1973,nm0791487,\N,"actor,producer,miscellaneous","tt0422401,tt7651352,tt0280477,tt0056758",Chinese
Pascal Rollin,1940,nm0738399,2021,actor,"tt0097635,tt0247517,tt0112714,tt0120070",NA
Pascale Hutton,1979,nm1370984,\N,"actress,producer,soundtrack","tt0845746,tt0965394,tt0402910,tt0120667","English, Scottish, Irish, Dutch, German"
Pat Crawford Brown,1929,nm0114390,2019,"actress,soundtrack","tt0110950,tt0477051,tt0338466,tt0102803",NA
Pat Dortch,\N,nm5119785,\N,"actor,writer,producer","tt14850544,tt17543592,tt4574334,tt4288182",NA
Pat Healy,\N,nm0372366,\N,"actor,writer,director","tt3032476,tt2389182,tt7053188,tt6294822",NA
Pat Kelly,\N,nm0446746,\N,"producer,actor,writer","tt1017465,tt14966060,tt14310766",NA
Pat Morita,1932,nm0001552,2005,"actor,soundtrack,writer","tt0091326,tt0097647,tt0087538,tt0110657",Japanese
Patcharawan Patarakijjanon,\N,nm0665265,\N,actress,tt0163978,NA
Patrice Lovely,\N,nm4776479,\N,"actress,producer,director","tt22051418,tt6217804,tt7054636,tt5325452",NA
Patricia Arquette,1968,nm0000099,\N,"actress,producer,director","tt1065073,tt0145531,tt0108399,tt0412175","*father – English, French-Canadian, Swiss-German, German, Scottish, Irish, Welsh
*mother – Ashkenazi Jewish"
Patricia Clarkson,1959,nm0165101,\N,"actress,producer,soundtrack","tt1130884,tt0340377,tt0297884,tt0120689","one eighth Basque, one eighth Ashkenazi Jewish (matrilineal), as well as German, English, French/Cajun, Irish, Scottish, Scots-Irish/Northern Irish, remote Dutch"
Patricia Heaton,1958,nm0005004,\N,"actress,producer,soundtrack","tt0104850,tt0103786,tt0117705,tt0115167","Irish (over 62.5%), English, German"
Patricia Llaca,1975,nm0209801,\N,actress,"tt0352155,tt0459127,tt0997448,tt0299956",NA
Patricia Richardson,1951,nm0005359,\N,"actress,soundtrack,producer","tt0120402,tt0200276,tt0252019,tt0101120",NA
Patricia Tallman,1957,nm0848191,\N,"actress,stunts,casting_department","tt0107290,tt0100258,tt0105946,tt0993841",NA
Patrick Arthur,\N,nm5242800,\N,"actor,casting_director","tt4527268,tt2403883,tt3377796,tt3363862",NA
Patrick Bauchau,\N,nm0000872,\N,"actor,writer,producer","tt0115320,tt0258000,tt0090264,tt0319969",NA
Patrick Breen,1960,nm0106755,\N,"actor,writer,director","tt0119654,tt0450405,tt0177789,tt1943629",NA
Patrick Brice,1983,nm2674307,\N,"director,writer,actor","tt2428170,tt3844362,tt1862079,tt3654796","Polish (paternal grandmother), Irish, Scottish, English, German, Swiss-German, one eighth Czech Bohemian"
Patrick Carroll,1982,nm2401975,\N,"actor,miscellaneous","tt0937237,tt0098844,tt0475290,tt1118697",NA
Patrick Cavanaugh,\N,nm0146941,\N,"actor,director,writer","tt2364582,tt6432722,tt0804503,tt3878542",NA
Patrick Censoplano,\N,nm1227152,\N,"actor,director,writer","tt1016075,tt0483631,tt0413573",NA
Patrick Cranshaw,1919,nm0186498,2005,"actor,soundtrack","tt0119807,tt0302886,tt0110074,tt0400497",NA
Patrick Delgado,\N,nm4036122,\N,"actor,miscellaneous","tt2630096,tt1707821,tt3972894,tt7171224",NA
Patrick Dempsey,1966,nm0001131,\N,"actor,production_manager,producer","tt0092718,tt0413573,tt1399103,tt0461770","German, English, Scottish, distant Irish, remote Swedish, possibly 5/2048 Native American"
Patrick Duffy,1949,nm0001155,\N,"actor,director,producer","tt0101205,tt0182576,tt1414382,tt0077000",NA
Patrick Elyas,\N,nm2267576,\N,actor,tt0318850,NA
Patrick Fabian,\N,nm0264579,\N,"actor,producer","tt0417001,tt3032476,tt1985017,tt1320244",NA
Patrick Fischler,1969,nm0279209,\N,"actor,producer,writer","tt1430819,tt0166924,tt0804503,tt2452242",Ashkenazi Jewish
Patrick Fugit,1982,nm0297578,\N,"actor,producer,camera_department","tt0477139,tt0181875,tt2267998,tt0332375","Irish, possibly other"
Patrick Gallagher,\N,nm1631532,\N,"actor,producer,stunts","tt0113048,tt0316824,tt0113675,tt0457475",NA
Patrick Godfrey,1933,nm0324009,\N,"actor,miscellaneous,soundtrack","tt0245844,tt0091867,tt1707386,tt0120631",NA
Patrick J. Adams,1981,nm1140666,\N,"actor,producer,director","tt6613878,tt1632701,tt0302886,tt0865561","German, English, possibly other"
Patrick John Flueger,1983,nm1005514,\N,actor,"tt0389564,tt0247638,tt1068242,tt2805096",NA
Patrick Johnson,\N,nm3416247,\N,"actor,camera_department,producer","tt1657505,tt1742334,tt2318092,tt2436386",NA
Patrick Kilpatrick,\N,nm0453304,\N,"actor,producer,writer","tt0099385,tt0181689,tt0116213,tt0116830",NA
Patrick Labyorteaux,1965,nm0479779,\N,"actor,writer,producer","tt0112022,tt0094072,tt0103596,tt0097493",NA
Patrick Lawrie,\N,nm6933414,\N,actor,tt3704538,NA
Patrick Macnee,1922,nm0001495,2015,"actor,costume_department,soundtrack","tt0054518,tt0082533,tt0090264,tt0082213",NA
Patrick Mofokeng,\N,nm0595680,\N,actor,"tt0127357,tt0783532,tt1234546,tt1057500",NA
Patrick Muldoon,1968,nm0005258,\N,"actor,producer,soundtrack","tt9139586,tt11196036,tt0120201,tt0103491","*father – Irish, English
*mother – Croatian"
Patrick O'Kane,1965,nm0641433,\N,actor,"tt0944947,tt2527336,tt0204313,tt5116280",NA
Patrick Regis,\N,nm1756686,\N,"actor,director,writer","tt2904670,tt0901507,tt1137996,tt14812206",NA
Patrick Renna,1979,nm0719606,\N,"actor,producer","tt0112499,tt0108037,tt0433963,tt0108186",NA
Patrick Rutherford,\N,nm4111780,\N,actor,tt1738366,NA
Patrick Sabongui,1975,nm1150775,\N,"actor,stunts,assistant_director","tt3107288,tt1796960,tt0831387,tt0416449",Egyptian
Patrick St. Esprit,1954,nm0820520,\N,"actor,stunts","tt2223990,tt1951264,tt0947810,tt0277434",NA
Patrick Stewart,1940,nm0001772,\N,"actor,producer,soundtrack","tt0117731,tt0092455,tt3315342,tt0120844","English, small amount of Scottish"
Patrick Swayze,1952,nm0000664,2009,"actor,soundtrack,producer","tt0099653,tt0092890,tt0102685,tt0098206","English, along with Irish and Scottish, possibly Dutch"
Patrick Wang,\N,nm1169526,\N,"actor,writer,producer","tt6884380,tt1845804,tt3545324,tt6887540",NA
Patrick Warburton,1964,nm0911320,\N,"actor,producer,soundtrack","tt0425061,tt0120917,tt0417373,tt0389790","*father – Irish, English, Alsatian German, some French
*mother – German"
Patrick Wilson,1973,nm0933940,\N,"actor,soundtrack,producer","tt0409459,tt0293508,tt1591095,tt0424136","English, along with Scottish and Scots-Irish/Northern Irish, distant Welsh and German"
Patsy van Ettinger,\N,nm1343881,\N,"actress,producer","tt0358551,tt1674047,tt1316037,tt0374170",NA
Patti Defilippis,\N,nm0995934,\N,"actress,writer,producer","tt0286218,tt14450612,tt14538958,tt14494506",NA
Patti LuPone,1949,nm0526985,\N,"actress,soundtrack","tt0252503,tt13521006,tt0120202,tt0090329",NA
Patti Perkins,\N,nm0674025,\N,actress,"tt0098844,tt0129685,tt0758784,tt0062595",NA
Patti Tindall,\N,nm1197846,\N,"actress,script_department","tt0436548,tt1203517,tt1160317,tt1337686",NA
Patton Oswalt,1969,nm0652663,\N,"actor,writer,producer","tt1307068,tt0382932,tt0359950,tt1625346","Italian/Sicilian (maternal grandfather), Irish, German, English, Scottish"
Patty McCormack,1945,nm0566478,\N,"actress,soundtrack,music_department","tt16030222,tt0078679,tt0870111,tt1560747",NA
Patty Peturbed,\N,nm1335313,\N,actress,tt0349761,NA
Paul Adelstein,1969,nm0011882,\N,"actor,producer,writer","tt0230030,tt9764362,tt0138524,tt0457400",Ashkenazi Jewish
Paul Anderson,\N,nm0027276,\N,"actor,writer","tt0113970,tt4730224,tt3152098,tt1389099",NA
Paul Ben-Victor,1965,nm0070115,\N,"actor,writer,producer","tt2561572,tt2356777,tt1302006,tt0306414",NA
Paul Bettany,1971,nm0079273,\N,"actor,writer,producer",tt9140560,English
Paul Blackthorne,1969,nm0085860,\N,"actor,producer,director","tt2193021,tt0479162,tt0169102,tt2027128",NA
Paul Boocock,1964,nm0095326,\N,actor,"tt2151543,tt0417373,tt0122529,tt0275140",NA
Paul Borghese,\N,nm0096637,\N,"actor,producer,director","tt2404311,tt0250934,tt1302006,tt3349772",NA
Paul Calderon,1959,nm0129538,\N,"actor,producer,assistant_director","tt0113101,tt0272020,tt0099939,tt0110912",NA
Paul Campbell,\N,nm0132773,\N,"actor,producer","tt0127497,tt0113558,tt0179063,tt0486578",NA
Paul Campbell,1979,nm1353748,\N,"actor,writer,producer","tt0407362,tt13206476,tt1053810,tt0411061",NA
Paul Clarke,\N,nm8353188,\N,"actor,miscellaneous,stunts","tt0253126,tt0254284,tt0352864,tt0302103",NA
Paul Clemens,1958,nm0166045,\N,"actor,special_effects,art_department","tt0074042,tt0330200,tt0088591,tt1301160",NA
Paul Curran,\N,nm0192868,\N,actor,"tt0130414,tt0302691,tt0416315,tt0119591",NA
Paul Dano,1984,nm0200452,\N,"actor,soundtrack,producer","tt2024544,tt0903657,tt0449059,tt0469494","*50% Rusyn
*25% Swedish
*25% mix of Slovenian and Bohemian Czech"
Paul Eiding,1957,nm0251646,\N,"actor,miscellaneous,casting_director","tt0249008,tt0092106,tt0180825,tt0760437",NA
Paul Fahrenkopf,\N,nm2157754,\N,"actor,casting_department,producer","tt3104078,tt6068788,tt3349728,tt2172109",NA
Paul Fitzgerald,1970,nm0280355,\N,"actor,director,writer","tt0359950,tt1764183,tt1291150,tt0444631",NA
Paul Freeman,1943,nm0293550,\N,actor,"tt0113820,tt0425112,tt0096454,tt0082971",NA
Paul Giamatti,1967,nm0316079,\N,"actor,producer,soundtrack","tt0352248,tt0375063,tt2024544,tt0305206","Italian (paternal grandfather), German, English, Dutch, Irish, distant Scottish, remote French"
Paul Hipp,1963,nm0004272,\N,"actor,soundtrack,composer","tt0103759,tt0104714,tt0119668,tt0119094",NA
Paul Hogan,1939,nm0001357,\N,"actor,writer,producer","tt0092493,tt0090555,tt0099018,tt0231402","Irish, English"
Paul Iacono,1988,nm1476591,\N,"actor,soundtrack","tt1451387,tt6012446,tt2996684,tt2429074",Italian
Paul Johansson,1964,nm0424035,\N,"actor,director,writer","tt1300851,tt0368530,tt0251160,tt0480239","Swedish (paternal grandfather), French-Canadian, Irish, English"
Paul Kyrmse,\N,nm0477504,\N,"actor,cinematographer,camera_department","tt0243655,tt0283646,tt0283647,tt0212879",NA
Paul Levesque,1969,nm0505391,\N,"actor,producer,director","tt0185103,tt4565780,tt8671116,tt1601141",NA
Paul Logan,1973,nm0517638,\N,"actor,stunts,producer","tt2119404,tt0058796,tt1587807,tt3924782",NA
Paul McCarthy-Boyington,\N,nm0102128,\N,"actor,producer,writer","tt0119080,tt0285333,tt0457275,tt1427298",NA
Paul McCloskey,\N,nm2281974,\N,"camera_department,actor,cinematographer","tt1722632,tt2240884,tt0460943,tt0914805",NA
Paul McGillion,1969,nm0569295,\N,"actor,producer,soundtrack","tt9012876,tt0374455,tt0796366,tt1964418",NA
Paul Newman,1925,nm0000056,2008,"actor,producer,director","tt0110684,tt0257044,tt0054997,tt0084855","*Ashkenazi Jewish (father)
*Slovak (mother)"
Paul Nicholls,1979,nm0629493,\N,"actor,stunts","tt0780653,tt0317198,tt0088512,tt0332136",NA
Paul Perri,1953,nm0674646,\N,actor,"tt0104850,tt0106697,tt0091474,tt0116361",NA
Paul Preiss,1980,nm2932576,\N,actor,"tt1212408,tt1857630,tt1327709,tt1190074",NA
Paul Rodriguez,1955,nm0735467,\N,"actor,writer,producer","tt0412080,tt0309377,tt0255653,tt0250687",NA
Paul Rudd,1969,nm0748620,\N,"actor,producer,writer","tt5095030,tt0478970,tt1155056,tt1659337",Ashkenazi Jewish
Paul Rust,1981,nm1770256,\N,"actor,writer,producer","tt0361748,tt1032815,tt4061080,tt0367279",German
Paul Schneider,1976,nm0773973,\N,"actor,writer,soundtrack","tt0810784,tt0805564,tt0299458,tt0368709",NA
Paul Sloan,1970,nm0806002,\N,"actor,writer,producer","tt0277296,tt1027747,tt3903852,tt2802328",NA
Paul Sorvino,1939,nm0000649,2022,"actor,soundtrack,director","tt0963194,tt0099685,tt0113987,tt0102803",Italian
Paul Soter,1969,nm0815418,\N,"actor,writer,producer","tt1135525,tt0247745,tt0331953,tt0486551","German, French-Canadian, possibly other"
Paul Telfer,1979,nm1533208,\N,"actor,writer,producer","tt0364845,tt0058796,tt0985593,tt1405406",NA
Paul Walker,1973,nm0908094,2013,"actor,producer,miscellaneous","tt2820852,tt1013752,tt0404390,tt0232500","English (mostly), some German, distant Scots-Irish/Northern Irish, Scottish, and Swiss-German"
Paul Wesley,\N,nm0913587,\N,"actor,producer,director","tt0838800,tt12327578,tt7695916,tt1405406",NA
Paul Whitney,\N,nm0926336,\N,actor,"tt10310140,tt0091475,tt18482470,tt4795062",NA
Paul Wight,1972,nm0927833,\N,actor,"tt0116705,tt1470023,tt0185130,tt0120484",NA
Paula Garcés,\N,nm0305519,\N,"actress,producer,writer","tt0157472,tt0481536,tt1268799,tt3318750",NA
Paula Jai Parker,1969,nm0005294,\N,"actress,soundtrack,director","tt0113118,tt0183649,tt0257756,tt0410097",NA
Paula Patton,1975,nm1745736,\N,"actress,producer,soundtrack","tt0803096,tt1229238,tt0453467,tt0929632","*father – African-American
*mother – German, English, smaller amount of Dutch"
Paula Prentiss,1938,nm0696038,\N,"actress,soundtrack","tt0071970,tt0082111,tt0073747,tt0054469",NA
Paulina Gaitan,1992,nm2103508,\N,"actress,producer","tt2707408,tt7482212,tt10091306,tt6121710",NA
Paulina García,1960,nm1257208,\N,"actress,producer","tt2425486,tt2040747,tt6147512,tt3256764",NA
Paulina Porizkova,1965,nm0005320,\N,"actress,director,writer","tt0097500,tt0106307,tt0118127,tt0124901",Czech [Moravian]
Pauline Dyer,\N,nm6643369,\N,"actress,editor,producer","tt15745084,tt7587890,tt7868082,tt9292510",NA
Pauline Egan,\N,nm3748325,\N,"actress,producer,music_department","tt6053512,tt9028890,tt0965394,tt0460681",NA
Pauline Etienne,1989,nm3011788,\N,"actress,director,soundtrack","tt2215221,tt1486815,tt3877718,tt1863352",NA
Pauline McLynn,1962,nm0572965,\N,actress,"tt0104231,tt0111958,tt0145653,tt9639470",NA
Paulo Araujo,\N,nm1923509,\N,"actor,editor,miscellaneous","tt12844586,tt12597948,tt0283503,tt15513370",NA
Paulo Calatré,1976,nm5138874,\N,actor,"tt6610280,tt9046038,tt6548416,tt12438242",NA
Paulo Costanzo,1978,nm0182455,\N,"actor,director,producer","tt0243736,tt1031280,tt1319735,tt0215129","*Italian (father)
*Ashkenazi Jewish (mother)"
Pavlína Karpeles,\N,nm2813890,\N,actress,"tt0924182,tt2576004,tt0494841,tt1127347",NA
Pawel Delag,1970,nm0216117,\N,"actor,director,producer","tt0108052,tt11523872,tt0837796,tt0282108",NA
Pawel Szajda,1982,nm1437733,\N,"actor,camera_department","tt0428251,tt0995832,tt4781612,tt0328589",Polish
Payman Maadi,1970,nm1818216,\N,"actor,writer,director","tt4172430,tt7915554,tt2994190,tt1832382",NA
Paz de la Huerta,1984,nm0209289,\N,actress,"tt0124315,tt0281358,tt1913166,tt1191111",NA
Paz Vega,1976,nm0891895,\N,"actress,producer,soundtrack","tt0371246,tt0499603,tt1206885,tt0254455",Spanish
Pedro Castaneda,\N,nm2639092,\N,actor,"tt1020936,tt1320237,tt1735322,tt4574354",NA
Pedro Pascal,1975,nm0050959,\N,"actor,producer,soundtrack","tt8111088,tt0944947,tt7126948,tt4649466","Chilean – including Spanish [Andalusian, Asturian, Canary Islander, Castilian, Catalan, Extremaduran, Galician], Basque, Indigenous, 1/16th French, 1/64th Welsh, remote Portuguese, as well as Argentinian, Bolivian, Mexican, Panamanian, Peruvian"
Pell James,1977,nm1169819,\N,"actress,producer","tt1189340,tt0443706,tt0412019,tt0396688",NA
Penelope Ann Miller,1964,nm0000542,\N,"actress,soundtrack","tt0099938,tt0099615,tt1655442,tt0106519",NA
Penélope Cruz,1974,nm0004851,\N,"actress,soundtrack,producer","tt0259711,tt0441909,tt0497465,tt1298650",NA
Penelope Mitchell,1991,nm3241414,\N,actress,"tt2309295,tt8806524,tt2274648,tt3346224","*father – Scottish, possibly other
*mother – French"
Penelope Wilton,1946,nm0934362,\N,actress,"tt1412386,tt0416320,tt0365748,tt2555736","English, some Northern Irish"
Peng Chi,\N,nm0156895,\N,actress,"tt5290746,tt9557290,tt28212839,tt3214392",NA
Penn Badgley,1986,nm0046112,\N,"actor,producer,director","tt1282140,tt7335184,tt0397442,tt1615147","Irish, English, smaller amounts of French-Canadian, German, Scottish, likely around 1/16th or 1/32 African-Jamaican, and remote Dutch, Welsh, and French Huguenot"
Penny Downie,1954,nm0236069,\N,"actress,miscellaneous","tt1619029,tt3300542,tt0200720,tt1057500",NA
Penny Johnson Jerald,1961,nm0425982,\N,actress,"tt0285331,tt0103466,tt0118548,tt0106145",African-American
Penny Vital,1977,nm1715297,\N,actress,"tt0960890,tt0439709,tt1131743,tt18567536",NA
Pepe Serna,1944,nm0785277,\N,"actor,producer,miscellaneous","tt0100514,tt0079367,tt0086250,tt0086856",NA
Percy Hynes White,2001,nm4007171,\N,"actor,miscellaneous","tt13443470,tt2583620,tt3783812,tt4396630","Irish, as well as English, possibly other"
Perdita Weeks,1985,nm0917347,\N,"actress,soundtrack","tt0116477,tt0120185,tt1677720,tt2870612",NA
Perla Haney-Jardine,1997,nm1549503,\N,"actress,art_director","tt0413300,tt0378194,tt2080374,tt0382628",NA
Pernell Walker,\N,nm2651139,\N,actress,"tt4998350,tt7187044,tt0203259,tt1233334",NA
Pete Postiglione,1971,nm2197020,\N,"actor,producer,location_management","tt10514932,tt13828084,tt1045658,tt7979668",NA
Pete Postlethwaite,1946,nm0000592,2011,"actor,producer","tt1375666,tt0119567,tt0114814,tt0840361","English, Irish"
Pete Scherer,\N,nm2856453,\N,"actor,writer","tt0433390,tt1144811,tt1222330,tt1358328",NA
Peter-Hugo Daly,1956,nm0198501,\N,"actor,soundtrack","tt0795493,tt1371155,tt0217505,tt0118933",NA
Peter Asher,1944,nm0004717,\N,"soundtrack,actor,music_department","tt0770828,tt0352277,tt0120591,tt1277953",NA
Peter Benson,\N,nm1193045,\N,"actor,visual_effects,director","tt5568740,tt13025202,tt1699748,tt10540562",NA
Peter Berg,1964,nm0000916,\N,"producer,actor,writer","tt0124198,tt0369339,tt1091191,tt0108724",NA
Peter Bogdanovich,1939,nm0000953,2022,"actor,director,writer","tt0079843,tt0067328,tt0063671,tt0070510","*Serbian (father)
*Ashkenazi Jewish (mother)"
Peter Boyle,1935,nm0001967,2006,"actor,soundtrack","tt0095963,tt0072431,tt0075314,tt0115167","*father – Irish
*mother – French, as well as Welsh, English, Scots-Irish/Northern Irish, Scottish, German, distant Polish"
Peter Brooke,\N,nm0111730,\N,actor,"tt0381061,tt7126948,tt12361974,tt0468569",NA
Peter Bryant,1959,nm0117206,\N,"actor,writer","tt0113497,tt0204993,tt0175142,tt0120667",NA
Peter Capaldi,1958,nm0134922,\N,"actor,director,producer","tt0459159,tt0816711,tt0436992,tt6334354","Italian (paternal grandfather), Scottish, Irish"
Peter Coyote,1941,nm0001075,\N,"actor,producer,miscellaneous","tt0281358,tt0104779,tt0083866,tt0120184","Ashkenazi Jewish, Sephardi Jewish"
Peter Dante,1968,nm0200601,\N,"actor,miscellaneous,soundtrack","tt0343660,tt0456554,tt0120484,tt0280590",Italian
Peter Dinklage,1969,nm0227759,\N,"actor,producer,soundtrack","tt0340377,tt0944947,tt1877832,tt5027774","Irish (approximately 56.25%), three eighths German, 1/16th English"
Peter Dobson,1964,nm0229930,\N,"actor,producer,director","tt0109830,tt0116365,tt0097714,tt14049122",NA
Peter Donat,1928,nm0232194,2018,"actor,writer,soundtrack","tt0106179,tt0119174,tt0105327,tt0078966",NA
Peter Facinelli,1973,nm0004906,\N,"actor,director,producer","tt4016454,tt1324999,tt9794630,tt1190689",Italian
Peter Falk,1927,nm0000393,2011,"actor,producer,soundtrack","tt0281322,tt0074937,tt0093779,tt1466074",Ashkenazi Jewish
Peter Firth,1953,nm0278752,\N,"actor,soundtrack","tt0160904,tt0075995,tt0099810,tt0089489",NA
Peter Flemming,1967,nm0281759,\N,"actor,miscellaneous,casting_department","tt0106179,tt0118480,tt0160184,tt1456949",NA
Peter Fonda,1940,nm0001228,2019,"actor,director,writer","tt0064276,tt0381849,tt0486946,tt0120402","Dutch, English, Scottish, French-Canadian, around 1/64th Italian, smalls amount of German and Belgian [Flemish], remote Norwegian and Cornish"
Peter Friedman,1949,nm0295334,\N,"actor,soundtrack","tt0758752,tt0105414,tt0244970,tt0338337",NA
Peter Gallagher,1955,nm0001251,\N,"actor,soundtrack,writer","tt0169547,tt0362359,tt0280590,tt0114924",Irish
Peter Greene,1965,nm0338886,\N,"actor,producer","tt0181316,tt0110912,tt0110475,tt1038919",NA
Peter Holden,\N,nm0390253,\N,"actor,director,producer","tt1426329,tt1285016,tt1219024,tt1345836",NA
Peter Hurteau,\N,nm2272943,\N,"actor,production_manager","tt0800022,tt2586040",NA
Peter J. Lucas,1962,nm0524257,\N,actor,"tt0116629,tt0306685,tt0138459,tt0460829",NA
Peter Jacobson,1965,nm0414772,\N,"actor,producer,soundtrack","tt2249007,tt12005128,tt0412142,tt4209256",Ashkenazi Jewish
Peter Jason,1944,nm0419273,\N,"actor,producer,cinematographer","tt0096256,tt0113855,tt0083511,tt0116225",NA
Peter Kaa,\N,nm0433920,\N,actor,"tt0200755,tt0114341,tt0995856,tt0352076",NA
Peter Krause,1965,nm0470244,\N,"actor,producer,soundtrack","tt0248654,tt1152398,tt0120382,tt0165961","German, English, possibly other"
Peter Macdissi,\N,nm0531589,\N,"actor,producer,soundtrack","tt0248654,tt0787523,tt0480255,tt11327514",NA
Peter MacNeill,\N,nm0534132,\N,"actor,miscellaneous","tt0316356,tt0115964,tt0399146,tt0262985",NA
Peter MacNicol,1954,nm0001493,\N,"actor,soundtrack,director","tt0084707,tt0118254",NA
